config,qid,rank_complete,oracle_beneficial,edited,support_complete_delta,support_recall_delta,added_gold,added_non_gold,removed_gold,removed_non_gold,hard_negative_types
margin15,83bf3b5a0bd911eba7f7acde48001122,True,False,True,0.0,0.0,0,1,0,1,"{""low_signal_deep_negative"": 1}"
margin15,a80d84e7096d11ebbdb0ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,2dc690ba0bdc11eba7f7acde48001122,False,False,True,0.0,0.0,0,1,0,1,"{""lexical_hard_negative"": 1}"
margin15,462bb642099211ebbdb0ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,a1cdb240085811ebbd5bac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,6718770a087311ebbd66ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,7f7046d308f711ebbdaaac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,9fe6a6760baf11ebab90acde48001122,True,False,True,0.0,0.0,0,1,0,1,"{""lexical_hard_negative"": 1}"
margin15,551e024408a611ebbd7fac1f6bf848b6,False,True,False,0.0,0.0,0,0,0,0,{}
margin15,33f51d7e0bde11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,914b452c0bdc11eba7f7acde48001122,True,False,True,0.0,0.0,0,1,0,1,"{""lexical_hard_negative"": 1}"
margin15,d6898f78089511ebbd75ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,006d81bc0bde11eba7f7acde48001122,False,True,False,0.0,0.0,0,0,0,0,{}
margin15,f5e3b9ca0bdb11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,265daf200bdc11eba7f7acde48001122,True,False,True,0.0,0.0,0,1,0,1,"{""bridge_entity_distractor"": 1}"
margin15,1c0dd3b00bdc11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,bab3b6d00bda11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,84b691d8086a11ebbd5fac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,dcbee4b608b011ebbd85ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,2d8f3ebe0bda11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,e6e38bc40bdd11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,0bedb7e80bdc11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,86508dc60bdc11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,e311a3ba0bdc11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,bdd526c4091811ebbdaeac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,435f65fa0baf11ebab90acde48001122,True,False,True,0.0,0.0,0,1,0,1,"{""semantic_hard_negative"": 1}"
margin15,5cc01ab60bb011ebab90acde48001122,True,False,True,0.0,0.0,0,1,0,1,"{""low_signal_deep_negative"": 1}"
margin15,2084260e0bde11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,7cb81afc0bd911eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,a1d9a65c0bd911eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,f34d188608cb11ebbd93ac1f6bf848b6,False,False,False,0.0,0.0,0,0,0,0,{}
margin15,3a3c2efe0bdc11eba7f7acde48001122,False,False,False,0.0,0.0,0,0,0,0,{}
margin15,9aa8008408de11ebbd9eac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,0dfe41f60bdc11eba7f7acde48001122,False,False,False,0.0,0.0,0,0,0,0,{}
margin15,3ce92df80bde11eba7f7acde48001122,False,True,False,0.0,0.0,0,0,0,0,{}
margin15,3e3cd62a086211ebbd5dac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,b672c1ee0bdd11eba7f7acde48001122,True,False,True,0.0,0.0,0,1,0,1,"{""lexical_hard_negative"": 1}"
margin15,01309e5008bd11ebbd89ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,c5a00e860bda11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,434dea7708d211ebbd95ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,02b62fce087211ebbd64ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,b0ac0fc8087b11ebbd68ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,c9a769c608be11ebbd8aac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,3f04140e08c311ebbd8dac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,50e4a65c0bde11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,b64f541e088d11ebbd70ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,f998c58c091b11ebbdaeac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,38da155f087511ebbd67ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,49b22d0a0bde11eba7f7acde48001122,False,True,False,0.0,0.0,0,0,0,0,{}
margin15,78b10fb00bdc11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,879d21e208fc11ebbdadac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,62a9cd640bb011ebab90acde48001122,False,False,True,0.0,0.0,0,1,0,1,"{""lexical_hard_negative"": 1}"
margin15,cda459160bda11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,1dfaa6200bdd11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,ea151f3908e011ebbda2ac1f6bf848b6,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,8e07f1f00bda11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
margin15,b7f5f7200bdd11eba7f7acde48001122,True,False,False,0.0,0.0,0,0,0,0,{}
