dataset,base_dataset,query_index,question,gold_title,policy,source_best_gold_rank,policy_best_gold_rank,rank_improvement,baseline_hit_at_5,baseline_hit_at_10,baseline_hit_at_20,policy_hit_at_5,policy_hit_at_10,policy_hit_at_20,new_hit_at_5,new_hit_at_10,new_hit_at_20,best_score,best_generated_text,best_reason,policy_top5_titles_json
MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Battle of New Orleans,source_order,71,71,0,0,0,0,0,0,0,0,0,0,0.0,,,"[""Battle of Korytsa"", ""Philip III of Spain"", ""Charles Russell Lowell"", ""Battle of the Border"", ""William Shakespeare""]"
MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Battle of New Orleans,question_lexical,71,43,28,0,0,0,0,0,0,0,0,0,30.82409222010501,When was the start of the battle of the birthplace of the performer of III?,title_token_overlap,"[""III (Stanton Moore album)"", ""Battle of Preveza"", ""Battle of Abbeville"", ""Battle of Sempach"", ""Battle of Korytsa""]"
MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Battle of New Orleans,demand_lexical,71,43,28,0,0,0,0,0,0,0,0,0,36.42409222010501,s3: When was the start of the battle of that birthplace?,title_token_overlap,"[""III (Stanton Moore album)"", ""Philip III of Spain"", ""Robert Munford III"", ""Battle of Preveza"", ""Battle of Abbeville""]"
MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Battle of New Orleans,llm_query_reform,71,43,28,0,0,0,0,0,0,0,0,0,44.52476541934281,battle of the birthplace of the performer of III,title_token_overlap,"[""III (Stanton Moore album)"", ""Philip III of Spain"", ""Robert Munford III"", ""Battle of Preveza"", ""Battle of Abbeville""]"
MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Battle of New Orleans,llm_demand_reform,71,43,28,0,0,0,0,0,0,0,0,0,30.82409222010501,When was the start of the battle of the birthplace of the performer of III?,title_token_overlap,"[""III (Stanton Moore album)"", ""Philip III of Spain"", ""Robert Munford III"", ""Battle of Preveza"", ""Battle of Abbeville""]"
MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Battle of New Orleans,llm_demand_hyde,71,33,38,0,0,0,0,0,0,0,0,0,37.639119227185226,"The Battle of London took place in 1642, marking the beginning of the English Civil War.",title_token_overlap,"[""III (Stanton Moore album)"", ""Battle of Abbeville"", ""Battle of the Monongahela"", ""Battle of Britain"", ""Battle of Dunkirk""]"
MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Battle of New Orleans,llm_combined,71,42,29,0,0,0,0,0,0,0,0,0,61.26046562566083,"The Battle of London took place in 1642, marking the beginning of the English Civil War.",title_token_overlap,"[""III (Stanton Moore album)"", ""Philip III of Spain"", ""Robert Munford III"", ""Battle of Abbeville"", ""Battle of Preveza""]"
MuSiQue,musique,8,When was the start of the battle of the birthplace of the performer of III?,Battle of New Orleans,llm_listwise_select,71,71,0,0,0,0,0,0,0,0,0,0,0.0,,,"[""III (Stanton Moore album)"", ""Julian Lennon"", ""Robert Munford III"", ""Franco-Prussian War"", ""Philip III of Spain""]"
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,source_order,18,18,0,0,0,1,0,0,1,0,0,0,0.0,,,"[""César Gaytan"", ""Sebastian Cabot (explorer)"", ""Pedro Álvares Cabral"", ""Francisco de Eliza"", ""Giovanni Battista Caviglia""]"
MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,question_lexical,18,72,-54,0,0,1,0,0,0,0,0,0,0.0,,,"[""César Gaytan"", ""Child labour"", ""History of the west coast of North America"", ""Portugal"", ""Spice trade""]"
